start_index,step_size262953,113
244833,179
183759,183
64946,149
95495,195
171157,120
133484,173
25014,199
138655,159
241141,173
48762,182
53571,166
201442,150
90815,145
189320,175
193542,139
45268,137
186685,182
220009,186
138701,84
247503,165
102033,156
81239,128
84477,145
240989,183
168809,108
192958,149
55415,104
241401,106
66363,95
218378,92
187540,191
265786,156
155496,99
242629,111
10124,175
89896,129
139826,136
36204,199
32459,118
239737,161
8717,172
51181,134
274601,120
14970,159
243205,108
192953,194
179927,139
134621,123
147958,129
12132,125
246733,157
188151,182
156354,177
34738,168
78319,137
39601,129
248135,132
149968,100
174551,98
64298,130
136755,136
62373,91
41577,131
195822,144
81564,131
21906,164
29921,140
39830,177
165375,167
115563,89
195404,89
240245,91
184139,144
267216,160
24361,174
174102,191
57919,162
80083,176
241303,193
15583,186
13163,80
268600,162
224159,165
268748,86
269588,135
79324,169
86412,190
199598,132
174902,99
12886,96
260421,184
269377,89
182374,136
238761,104
61561,162
95083,181
192800,83
213827,171
112839,128
264831,189
199839,95
111144,182
218331,147
201360,192
103311,133
139992,169
212803,91
170030,150
97227,171
87484,194
269724,89
38423,97
205767,98
113857,123
169611,142
53124,93
113596,105
217534,171
278515,182
257321,165
101624,183
141900,146
157261,192
80827,110
122205,196
133658,190
58276,172
259589,199
183611,104
219275,148
214634,170
201426,197
111424,131
183904,88
16303,175
116004,91
251165,146
27418,92
139012,192
197896,122
123873,164
151568,99
140011,156
257770,112
86973,187
215523,119
23899,139
180759,97
218897,174
269814,191
272791,143
174124,104
215854,146
162070,199
152395,111
151285,114
137387,129
202855,80
100246,84
101703,106
28371,164
240214,147
154374,126
41939,153
173754,163
15744,90
244654,133
181746,84
208026,131
56454,191
22907,108
105689,177
44648,134
221206,135
35288,133
32220,198
45941,89
122526,170
18430,96
223070,108
170347,129
26405,156
169099,154
128543,152
268559,144
49190,116
173563,199
103323,119
6251,121
63788,154
97960,197
51930,124
22536,128
120888,166
224165,165
197365,81
259986,148
177277,144
141905,147
243230,169
230792,99
69091,98
219193,196
45036,132
136672,97
196810,130
202492,83
206864,197
209276,181
91434,124
145151,109
131602,185
108929,87
46105,82
160502,107
33878,180
154970,187
74958,160
18908,102
104241,100
27653,147
66174,113
66745,157
178653,115
168578,179
79941,85
1365,199
101976,83
258015,157
20633,96
201694,135
44064,117
45301,163
64881,180
181575,161
190613,113
26816,196
150611,157
43158,193
26483,86
123222,145
134550,178
142132,145
234444,148
246039,132
80264,140
42318,199
98228,191
103768,89
202987,109
157386,130
226863,184
78203,88
132519,198
146774,95
100761,108
23204,142
15649,162
198760,105
215575,85
265697,91
198817,187
163348,118
28846,111
151535,156
100728,192
205179,132
206741,126
89615,130
59087,140
45295,163
55348,110
193954,109
92946,194
50153,199
128577,157
193943,94
41813,80
165368,177
170406,135
121952,136
45026,130
16501,118
234383,145
185203,157
194204,107
206612,143
263265,166
23588,100
111931,143
33004,102
276501,189
245345,90
244826,129
224841,95
228768,87
73433,175
96310,197
96471,125
212222,111
20459,113
120573,132
73516,146
260901,96
188189,95
190050,198
153096,175
198548,160
10442,96
98736,117
31637,137
200726,110
8631,170
105883,168
195726,103
133271,116
28005,84
198768,129
3450,127
131935,149
125049,144
34499,164
194759,137
214664,169
64726,173
73442,146
17677,140
5887,100
84215,95
10158,162
89482,179
31592,103
160037,169
205695,186
190013,104
179128,140
53599,197
251898,111
78923,188
256954,161
275798,95
68241,95
210481,118
205315,118
47591,133
43031,98
186094,161
158904,163
243112,140
274979,124
241371,164
206704,80
190954,135
23606,82
52082,137
195417,118
153477,191
229372,175
54825,80
247921,91
180858,142
134222,198
143636,89
165425,163
246134,137
163319,169
53193,130
128674,136
259558,117
267770,84
257529,112
3380,164
157426,143
117838,173
35100,172
50068,173
207184,84
260913,177
198373,157
277264,98
215603,131
223553,120
160005,177
6074,132
20589,178
170222,198
123643,139
45230,117
168531,131
148836,104
155331,126
244478,141
206882,199
95639,170
268528,166
173031,80
32138,192
81445,145
78445,174
100744,106
160638,125
161086,128
45356,182
106690,86
158907,107
58108,88
111326,113
273625,135
33688,134
251700,126
277117,117
124836,155
154930,190
208762,94
66819,107
8083,130
83323,113
139773,144
6431,186
93255,158
203020,156
108414,130
121691,157
191863,199
43353,190
32825,199
176551,147
188706,181
610,92
219251,186
171027,98
216713,169
62883,161
107775,120
138522,89
88595,100
19947,108
18865,145
127015,161
125312,194
106090,197
17433,182
38726,90
237850,157
138352,106
108494,96
31934,154
28896,102
24874,80
44284,100
239971,84
128972,147
226553,133
18144,198
149470,176
79761,149
16909,170
22820,143
154931,176
112445,119
171512,191
152882,136
63982,198
31224,138
188193,121
104480,140
226780,138
54946,146
217214,152
209210,195
23649,129
40602,130
195523,116
175616,119
251395,132
252041,112
39411,121
109088,181
95705,80
52438,199
20228,166
16189,120
196892,167
47673,185
224895,132
186696,122
55413,177
267899,161
106323,176
191430,90
196147,161
66650,141
99788,177
153802,151
241001,105
5294,192
257401,168
78407,192
134807,131
154678,86
79795,105
12114,170
247862,84
65378,176
95016,144
106796,155
75200,184
268339,166
258055,133
105406,186
173325,103
8827,133
62476,138
199054,93
189218,127
271140,149
222151,106
44177,112
70161,141
271048,199
74263,149
152921,184
276561,198
161109,133
19332,136
155754,177
250178,137
226098,185
223501,119
46417,138
179447,126
46363,155
70951,180
1948,169
241807,173
47163,148
87867,163
122026,116
277065,194
55336,173
32155,95
195192,195
158416,181
253505,136
104739,128
242978,120
234724,143
226933,114
44880,102
26555,91
93219,185
172474,168
42970,185
248503,193
