,rounded-date,ABUNDANCE,BIOMAS
0,1979-02-01,0.17,1.34
1,1979-03-01,,
2,1979-04-01,0.26,1.04
3,1979-05-01,3.805,16.6725
4,1979-06-01,1.3575,3.44
5,1979-07-01,2.8579999999999997,6.781999999999999
6,1979-08-01,2.0475,4.27375
7,1979-09-01,3.93875,12.58125
8,1979-10-01,1.39,3.74
9,1979-11-01,1.37,4.72
10,1979-12-01,,
11,1980-01-01,,
12,1980-02-01,,
13,1980-03-01,,
14,1980-04-01,2.0,5.5175
15,1980-05-01,2.462,7.57
16,1980-06-01,1.858888888888889,3.488888888888889
17,1980-07-01,2.2275,5.405
18,1980-08-01,3.7914285714285714,11.69714285714286
19,1980-09-01,4.561,11.247
20,1980-10-01,3.002,7.878
21,1980-11-01,1.34,5.26
22,1980-12-01,,
23,1981-01-01,0.83,3.83
24,1981-02-01,,
25,1981-03-01,,
26,1981-04-01,2.175,5.9399999999999995
27,1981-05-01,7.8225,24.8675
28,1981-06-01,1.9271428571428573,3.6128571428571425
29,1981-07-01,4.3412500000000005,7.545
30,1981-08-01,4.415,8.52375
31,1981-09-01,4.55,13.586000000000002
32,1981-10-01,4.895,17.775
33,1981-11-01,,
34,1981-12-01,,
35,1982-01-01,1.3900000000000001,9.865
36,1982-02-01,0.7033333333333333,4.0633333333333335
37,1982-03-01,,
38,1982-04-01,,
39,1982-05-01,7.324,24.374000000000002
40,1982-06-01,1.0783333333333334,2.797916666666667
41,1982-07-01,4.67,10.512
42,1982-08-01,4.755199999999999,16.0684
43,1982-09-01,6.3531578947368414,18.436842105263157
44,1982-10-01,12.233,28.186500000000002
45,1982-11-01,14.819999999999999,32.83
46,1982-12-01,,
47,1983-01-01,,
48,1983-02-01,,
49,1983-03-01,,
50,1983-04-01,22.94,47.84285714285714
51,1983-05-01,54.300000000000004,136.68428571428572
52,1983-06-01,11.638799999999998,25.417600000000004
53,1983-07-01,2.612,5.807
54,1983-08-01,4.4292,9.414
