,rounded-date,ABUNDANCE,BIOMAS
0,1982-05-01,0.29888888888888887,4.303333333333334
1,1982-06-01,0.18666666666666668,3.2883333333333336
2,1982-07-01,1.6170000000000002,16.0475
3,1982-08-01,4.2307999999999995,34.8516
4,1982-09-01,1.3216666666666665,12.703333333333333
5,1982-10-01,1.365,9.483
6,1982-11-01,0.586,4.29
7,1982-12-01,,
8,1983-01-01,,
9,1983-02-01,,
10,1983-03-01,,
11,1983-04-01,0.2425,1.36
12,1983-05-01,0.935,8.4125
13,1983-06-01,0.6014999999999999,8.967
14,1983-07-01,1.1489473684210525,11.022631578947369
15,1983-08-01,1.3947999999999998,10.451200000000002
16,1983-09-01,1.23,11.504117647058823
17,1983-10-01,0.9978260869565218,8.67
18,1983-11-01,,
19,1983-12-01,,
20,1984-01-01,,
21,1984-02-01,0.13,1.7
22,1984-03-01,,
23,1984-04-01,1.56,9.5
24,1984-05-01,1.9384210526315788,21.32842105263158
25,1984-06-01,0.867,10.967
26,1984-07-01,2.3864,19.959600000000002
27,1984-08-01,1.343,10.4845
28,1984-09-01,0.931,6.2829999999999995
29,1984-10-01,0.7632000000000001,3.9688
30,1984-11-01,0.11333333333333334,0.6433333333333334
31,1984-12-01,,
32,1985-01-01,0.06,0.61
33,1985-02-01,0.04,0.87
34,1985-03-01,,
35,1985-04-01,1.9416666666666664,9.663333333333334
36,1985-05-01,2.7161538461538464,26.720000000000002
37,1985-06-01,2.0204761904761903,14.00047619047619
38,1985-07-01,4.8672,34.123200000000004
39,1985-08-01,5.891,34.669
40,1985-09-01,4.2272,22.012800000000002
41,1985-10-01,4.088947368421053,23.024210526315787
42,1985-11-01,1.035,4.367
43,1985-12-01,,
44,1986-01-01,,
45,1986-02-01,0.01,0.07
46,1986-03-01,0.04,0.22
47,1986-04-01,1.1914285714285715,8.004285714285714
48,1986-05-01,2.4219999999999997,36.4
49,1986-06-01,1.1547368421052633,19.057894736842105
50,1986-07-01,1.804782608695652,14.072608695652175
51,1986-08-01,1.012857142857143,7.3342857142857145
52,1986-09-01,0.535,6.538333333333333
53,1986-10-01,0.4488235294117647,5.4276470588235295
54,1986-11-01,0.22999999999999998,2.08
55,1986-12-01,,
